step,accuracys
1,0.8056016215220195
2,0.8044226044226044
3,0.8031447699772741
4,0.8041769041769041
5,0.8018549229162828
6,0.8011056511056511
7,0.7988452797739697
8,0.7993243243243243
9,0.7982310668877833
10,0.7987100737100737
11,0.797616854001597
12,0.797911547911548
13,0.7960199004975125
14,0.796007371007371
15,0.7962041643633684
16,0.794963144963145
17,0.7944843682820466
18,0.7944103194103194
19,0.794914317302377
20,0.7960687960687961
21,0.7961427430747497
22,0.7957002457002457
23,0.7970640624040293
24,0.7919533169533169
25,0.7925188870462502
26,0.7916461916461917
27,0.7939929979730975
28,0.7927518427518427
29,0.7941158405503348
30,0.792014742014742
31,0.7919660954486825
32,0.7912162162162162
33,0.7925803083348688
34,0.7918304668304669
35,0.793747312818623
36,0.7926289926289927
37,0.7938087341072416
38,0.7916461916461917
39,0.791536146428352
40,0.7908476658476659
41,0.793071678643818
42,0.7912776412776413
43,0.7923346231803943
44,0.7904176904176904
45,0.7919660954486825
46,0.7906633906633906
47,0.7913518825624961
48,0.7903562653562654
49,0.7912290399852588
50,0.7901719901719901
51,0.7911676186966402
52,0.7901719901719901
53,0.7911061974080216
54,0.7908476658476659
55,0.7918432528714452
56,0.7594594594594595
57,0.759719918923899
58,0.7594594594594595
59,0.759719918923899
60,0.7594594594594595
61,0.7597813402125176
62,0.7595208845208845
63,0.7598427615011363
64,0.7595208845208845
65,0.7597813402125176
66,0.7595208845208845
67,0.7597813402125176
68,0.7595208845208845
69,0.7597813402125176
70,0.7594594594594595
71,0.759719918923899
72,0.7594594594594595
73,0.759719918923899
74,0.7593980343980344
75,0.7595356550580431
76,0.7593366093366093
77,0.7595356550580431
78,0.7592751842751843
79,0.7593513911921872
80,0.7592751842751843
81,0.7595356550580431
82,0.7593980343980344
83,0.7595356550580431
84,0.7593980343980344
85,0.7596584976352804
86,0.7593980343980344
87,0.7595356550580431
88,0.7593980343980344
89,0.7595356550580431
90,0.7593366093366093
91,0.7595356550580431
92,0.7593366093366093
93,0.7595356550580431
94,0.7593980343980344
95,0.7595356550580431
96,0.7593980343980344
97,0.759719918923899
98,0.7594594594594595
99,0.7597813402125176
100,0.7595208845208845
