step,accuracys
1,0.9814814814814815
2,0.9641203703703703
3,0.9212962962962963
4,0.9143518518518519
5,0.9236111111111112
6,0.90625
7,0.9016203703703703
8,0.8935185185185185
9,0.8946759259259259
10,0.8935185185185185
11,0.8993055555555556
12,0.8958333333333334
13,0.8993055555555556
14,0.8935185185185185
15,0.8935185185185185
16,0.8923611111111112
17,0.8912037037037037
18,0.8912037037037037
19,0.8958333333333334
20,0.8831018518518519
21,0.8807870370370371
22,0.8784722222222222
23,0.8761574074074074
24,0.8773148148148148
25,0.8634259259259259
26,0.8773148148148148
27,0.8715277777777778
28,0.8773148148148148
29,0.8657407407407407
30,0.8692129629629629
31,0.8622685185185185
32,0.8645833333333334
33,0.8657407407407407
34,0.8680555555555556
35,0.8599537037037037
36,0.8680555555555556
37,0.8564814814814815
38,0.8715277777777778
39,0.8518518518518519
40,0.8692129629629629
41,0.8541666666666666
42,0.8726851851851852
43,0.8506944444444444
44,0.8576388888888888
45,0.8460648148148148
46,0.8599537037037037
47,0.8483796296296297
48,0.8599537037037037
49,0.8495370370370371
50,0.8564814814814815
51,0.8402777777777778
52,0.8587962962962963
53,0.8391203703703703
54,0.8553240740740741
55,0.8541666666666666
56,0.8564814814814815
57,0.8472222222222222
58,0.8541666666666666
59,0.8541666666666666
60,0.8483796296296297
61,0.8460648148148148
62,0.84375
63,0.8402777777777778
64,0.8449074074074074
65,0.84375
66,0.84375
67,0.8356481481481481
68,0.8425925925925926
69,0.8321759259259259
70,0.8460648148148148
71,0.8298611111111112
72,0.8344907407407407
73,0.8287037037037037
74,0.8321759259259259
75,0.8206018518518519
76,0.8310185185185185
77,0.8252314814814815
78,0.8298611111111112
79,0.8240740740740741
80,0.8333333333333334
81,0.8263888888888888
82,0.8368055555555556
83,0.8217592592592593
84,0.8402777777777778
85,0.8217592592592593
86,0.8333333333333334
87,0.8194444444444444
88,0.8368055555555556
89,0.8344907407407407
90,0.8368055555555556
91,0.8310185185185185
92,0.8391203703703703
93,0.8356481481481481
94,0.8379629629629629
95,0.8298611111111112
96,0.8368055555555556
97,0.8263888888888888
98,0.8368055555555556
99,0.8229166666666666
100,0.8449074074074074
