step,accuracys
1,0.6853146853146853
2,0.7342657342657343
3,0.6923076923076923
4,0.7412587412587412
5,0.7132867132867133
6,0.7342657342657343
7,0.7062937062937062
8,0.7482517482517482
9,0.7132867132867133
10,0.7132867132867133
11,0.7132867132867133
12,0.7342657342657343
13,0.7132867132867133
14,0.7202797202797203
15,0.7272727272727273
16,0.7272727272727273
17,0.7342657342657343
18,0.7062937062937062
19,0.7412587412587412
20,0.7062937062937062
21,0.7272727272727273
22,0.6713286713286714
23,0.7132867132867133
24,0.6993006993006993
25,0.7062937062937062
26,0.7342657342657343
27,0.7132867132867133
28,0.7062937062937062
29,0.6993006993006993
30,0.6783216783216783
31,0.7202797202797203
32,0.6783216783216783
33,0.7062937062937062
34,0.6923076923076923
35,0.7202797202797203
36,0.6713286713286714
37,0.6993006993006993
38,0.6783216783216783
39,0.7062937062937062
40,0.6783216783216783
41,0.7062937062937062
42,0.6783216783216783
43,0.6853146853146853
44,0.6713286713286714
45,0.6923076923076923
46,0.6853146853146853
47,0.6993006993006993
48,0.6713286713286714
49,0.6993006993006993
50,0.6503496503496503
51,0.6783216783216783
52,0.6573426573426573
53,0.6853146853146853
54,0.6573426573426573
55,0.6853146853146853
56,0.6433566433566433
57,0.6783216783216783
58,0.6783216783216783
59,0.6993006993006993
60,0.6853146853146853
61,0.6923076923076923
62,0.6713286713286714
63,0.6993006993006993
64,0.6713286713286714
65,0.7202797202797203
66,0.6573426573426573
67,0.6993006993006993
68,0.6783216783216783
69,0.6923076923076923
70,0.6783216783216783
71,0.6713286713286714
72,0.6783216783216783
73,0.6643356643356644
74,0.6923076923076923
75,0.6713286713286714
76,0.6573426573426573
77,0.6363636363636364
78,0.6643356643356644
79,0.6853146853146853
80,0.6713286713286714
81,0.6713286713286714
82,0.6573426573426573
83,0.6293706293706294
84,0.6573426573426573
85,0.6643356643356644
86,0.6573426573426573
87,0.6643356643356644
88,0.6573426573426573
89,0.6573426573426573
90,0.6643356643356644
91,0.6573426573426573
92,0.6573426573426573
93,0.6713286713286714
94,0.6363636363636364
95,0.6923076923076923
96,0.6503496503496503
97,0.6993006993006993
98,0.6643356643356644
99,0.6853146853146853
100,0.6503496503496503
