step,accuracys
1,0.885891198584697
2,0.8876106194690265
3,0.877045555064131
4,0.8787610619469026
5,0.8788146837682441
6,0.8756637168141593
7,0.8646616541353384
8,0.8699115044247787
9,0.8664307828394515
10,0.870353982300885
11,0.8659885006634233
12,0.8650442477876106
13,0.8637770897832817
14,0.8694690265486725
15,0.8615656789031402
16,0.8663716814159292
17,0.8668730650154799
18,0.8738938053097345
19,0.8681999115435648
20,0.8778761061946903
21,0.8695267580716497
22,0.8769911504424779
23,0.8681999115435648
24,0.8747787610619469
25,0.8637770897832817
26,0.8752212389380531
27,0.8766032728881026
28,0.8836283185840708
29,0.8805838124723574
30,0.8871681415929203
31,0.8805838124723574
32,0.8880530973451327
33,0.8832375055285272
34,0.8858407079646018
35,0.8832375055285272
36,0.8858407079646018
37,0.8836797877045555
38,0.8876106194690265
39,0.8841220698805838
40,0.8889380530973451
41,0.8841220698805838
42,0.8893805309734514
43,0.8832375055285272
44,0.8893805309734514
45,0.8845643520566121
46,0.8893805309734514
47,0.8845643520566121
48,0.8889380530973451
49,0.8845643520566121
50,0.8880530973451327
51,0.8841220698805838
52,0.8871681415929203
53,0.8836797877045555
54,0.886283185840708
55,0.8841220698805838
56,0.886283185840708
57,0.8850066342326405
58,0.8858407079646018
59,0.885891198584697
60,0.886283185840708
61,0.8845643520566121
62,0.886283185840708
63,0.8863334807607254
64,0.8871681415929203
65,0.8845643520566121
66,0.8876106194690265
67,0.8854489164086687
68,0.8880530973451327
69,0.8863334807607254
70,0.8884955752212389
71,0.8841220698805838
72,0.8876106194690265
73,0.8867757629367536
74,0.8871681415929203
75,0.885891198584697
76,0.8876106194690265
77,0.8854489164086687
78,0.8876106194690265
79,0.8850066342326405
80,0.8876106194690265
81,0.8845643520566121
82,0.8876106194690265
83,0.8836797877045555
84,0.8867256637168142
85,0.8841220698805838
86,0.8884955752212389
87,0.8841220698805838
88,0.8889380530973451
89,0.8863334807607254
90,0.8893805309734514
91,0.8854489164086687
92,0.8893805309734514
93,0.8863334807607254
94,0.8880530973451327
95,0.8854489164086687
96,0.8889380530973451
97,0.8854489164086687
98,0.8893805309734514
99,0.8845643520566121
100,0.8889380530973451
