step,accuracys
1,0.631578947368421
2,0.647887323943662
3,0.631578947368421
4,0.6267605633802817
5,0.6280701754385964
6,0.6267605633802817
7,0.6280701754385964
8,0.6267605633802817
9,0.6280701754385964
10,0.6267605633802817
11,0.6280701754385964
12,0.6267605633802817
13,0.6280701754385964
14,0.6267605633802817
15,0.6280701754385964
16,0.6267605633802817
17,0.6280701754385964
18,0.6267605633802817
19,0.6280701754385964
20,0.6267605633802817
21,0.6280701754385964
22,0.6267605633802817
23,0.6280701754385964
24,0.6267605633802817
25,0.6280701754385964
26,0.6267605633802817
27,0.6280701754385964
28,0.6267605633802817
29,0.6280701754385964
30,0.6267605633802817
31,0.6280701754385964
32,0.6267605633802817
33,0.6280701754385964
34,0.6267605633802817
35,0.6280701754385964
36,0.6267605633802817
37,0.6280701754385964
38,0.6267605633802817
39,0.6280701754385964
40,0.6267605633802817
41,0.6280701754385964
42,0.6267605633802817
43,0.6280701754385964
44,0.6267605633802817
45,0.6280701754385964
46,0.6267605633802817
47,0.6280701754385964
48,0.6267605633802817
49,0.6280701754385964
50,0.6267605633802817
51,0.6280701754385964
52,0.6267605633802817
53,0.6280701754385964
54,0.6267605633802817
55,0.6280701754385964
56,0.6267605633802817
57,0.6280701754385964
58,0.6267605633802817
59,0.6280701754385964
60,0.6267605633802817
61,0.6280701754385964
62,0.6267605633802817
63,0.6280701754385964
64,0.6267605633802817
65,0.6280701754385964
66,0.6267605633802817
67,0.6280701754385964
68,0.6267605633802817
69,0.6280701754385964
70,0.6267605633802817
71,0.6280701754385964
72,0.6267605633802817
73,0.6280701754385964
74,0.6267605633802817
75,0.6280701754385964
76,0.6267605633802817
77,0.6280701754385964
78,0.6267605633802817
79,0.6280701754385964
80,0.6267605633802817
81,0.6280701754385964
82,0.6267605633802817
83,0.6280701754385964
84,0.6267605633802817
85,0.6280701754385964
86,0.6267605633802817
87,0.6280701754385964
88,0.6267605633802817
89,0.6280701754385964
90,0.6267605633802817
91,0.6280701754385964
92,0.6267605633802817
93,0.6280701754385964
94,0.6267605633802817
95,0.6280701754385964
96,0.6267605633802817
97,0.6280701754385964
98,0.6267605633802817
99,0.6280701754385964
100,0.6267605633802817
